Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
policyMgmt,Chrome 126.0.0.0,,,2024-08-16 02:22:38,2024-08-16 02:30:37,7m - 59.059s,PASSED
,,,,,,,
Test Cases/policyManagement/Change Request/VerifyApplyChangeRequest,Chrome 126.0.0.0,,,2024-08-16 02:22:52,2024-08-16 02:25:46,2m - 54.179s,PASSED
Start listener action : BeforeTestCase,Chrome 126.0.0.0,,,2024-08-16 02:22:52,2024-08-16 02:22:52,0.357s,PASSED
"dataFilePath = ""Data Files/policyManagement/policyChangeRequestData""",Chrome 126.0.0.0,,,2024-08-16 02:22:54,2024-08-16 02:22:54,0.000s,PASSED
tc = new VerifyApplyChangeRequest(dataFilePath),Chrome 126.0.0.0,,,2024-08-16 02:22:54,2024-08-16 02:22:55,0.486s,PASSED
"policyColumnData = ""Data Files/policyManagement/policyManagementColumn""",Chrome 126.0.0.0,,,2024-08-16 02:22:55,2024-08-16 02:22:55,0.001s,PASSED
"applicantFieldData = ""Data Files/applicants/defaultDataCreateApplicant""",Chrome 126.0.0.0,,,2024-08-16 02:22:55,2024-08-16 02:22:55,0.001s,PASSED
tc.run(),Chrome 126.0.0.0,,,2024-08-16 02:22:55,2024-08-16 02:22:55,0.019s,PASSED
"navBar.hoverElement(""applicantsIcon"")",Chrome 126.0.0.0,,,2024-08-16 02:22:55,2024-08-16 02:22:55,0.339s,PASSED
"navBar.clickElement(""createApplicantLink"")",Chrome 126.0.0.0,,,2024-08-16 02:22:55,2024-08-16 02:22:55,0.291s,PASSED
applicantFields = findTestData(applicantFieldData),Chrome 126.0.0.0,,,2024-08-16 02:22:55,2024-08-16 02:22:55,0.005s,PASSED
"createNewApp.setApplicantFieldsWithDefaultValues(applicantFields, ""applicantFieldValue"")",Chrome 126.0.0.0,,,2024-08-16 02:22:55,2024-08-16 02:23:05,9.802s,PASSED
"createNewApp.clickElement(""applicantSaveButton"")",Chrome 126.0.0.0,,,2024-08-16 02:23:05,2024-08-16 02:23:06,0.289s,PASSED
applicantPolicyPage.goToAddPolicyPage(),Chrome 126.0.0.0,,,2024-08-16 02:23:06,2024-08-16 02:23:11,5.081s,PASSED
"addPolicyPage.setPolicyFieldsWithDefaultValues(data, ""policyCreateValue"")",Chrome 126.0.0.0,,,2024-08-16 02:23:11,2024-08-16 02:23:17,6.547s,PASSED
"addPolicyPage.clickElement(""addPolicySubmitButton"")",Chrome 126.0.0.0,,,2024-08-16 02:23:17,2024-08-16 02:23:17,0.194s,PASSED
applicantPolicyPage.navigateToRequestChangePolicy(),Chrome 126.0.0.0,,,2024-08-16 02:23:17,2024-08-16 02:23:21,3.538s,PASSED
"addPolicyPage.requestChangePolicy(data, ""changeRequestValue"")",Chrome 126.0.0.0,,,2024-08-16 02:23:21,2024-08-16 02:23:23,2.357s,PASSED
"addPolicyPage.clickElement(""editChangeRequestPolicy"")",Chrome 126.0.0.0,,,2024-08-16 02:23:23,2024-08-16 02:23:23,0.177s,PASSED
delay(medTimeOut),Chrome 126.0.0.0,,,2024-08-16 02:23:23,2024-08-16 02:23:28,5.003s,PASSED
apeTabs = new pageClasses.common.APETabs(),Chrome 126.0.0.0,,,2024-08-16 02:23:28,2024-08-16 02:23:28,0.014s,PASSED
apeTabs.clickSaveAndClose(),Chrome 126.0.0.0,,,2024-08-16 02:23:28,2024-08-16 02:23:30,1.400s,PASSED
delay(smallTimeOut),Chrome 126.0.0.0,,,2024-08-16 02:23:30,2024-08-16 02:23:32,2.002s,PASSED
switchToWindowIndex(1),Chrome 126.0.0.0,,,2024-08-16 02:23:32,2024-08-16 02:23:32,0.126s,PASSED
switchToDefaultContent(),Chrome 126.0.0.0,,,2024-08-16 02:23:32,2024-08-16 02:23:32,0.035s,PASSED
policyColumn = findTestData(policyColumnData),Chrome 126.0.0.0,,,2024-08-16 02:23:32,2024-08-16 02:23:32,0.004s,PASSED
"result = verifyTextPresent(policyColumn.getValue(""changeRequestVerify"", 1), false)",Chrome 126.0.0.0,,,2024-08-16 02:23:32,2024-08-16 02:23:32,0.136s,PASSED
finalResult.add(String.valueOf(result)),Chrome 126.0.0.0,,,2024-08-16 02:23:32,2024-08-16 02:23:32,0.001s,PASSED
memoPage = new pageClasses.applicants.MemoPage(),Chrome 126.0.0.0,,,2024-08-16 02:23:32,2024-08-16 02:23:32,0.007s,PASSED
memoPage.confirmChange(),Chrome 126.0.0.0,,,2024-08-16 02:23:32,2024-08-16 02:23:50,17.665s,PASSED
"result1 = verifyTextNotPresent(policyColumn.getValue(""changeRequestVerify"", 5), false)",Chrome 126.0.0.0,,,2024-08-16 02:23:50,2024-08-16 02:23:50,0.134s,PASSED
finalResult.add(String.valueOf(result1)),Chrome 126.0.0.0,,,2024-08-16 02:23:50,2024-08-16 02:23:50,0.000s,PASSED
"addPolicyPage.setPolicyFieldsWithDefaultValues(data, ""changePremiumValue"")",Chrome 126.0.0.0,,,2024-08-16 02:23:50,2024-08-16 02:24:54,1m - 4.405s,PASSED
"addPolicyPage.setTextField(""changePremium"", ""200"")",Chrome 126.0.0.0,,,2024-08-16 02:24:54,2024-08-16 02:24:55,0.358s,PASSED
"addPolicyPage.clickElement(""changePolicyBtn"")",Chrome 126.0.0.0,,,2024-08-16 02:24:55,2024-08-16 02:24:55,0.182s,PASSED
waitForPageLoad(longTimeOut),Chrome 126.0.0.0,,,2024-08-16 02:24:55,2024-08-16 02:24:55,0.017s,PASSED
delay(longTimeOut),Chrome 126.0.0.0,,,2024-08-16 02:24:55,2024-08-16 02:25:05,10.003s,PASSED
"memoPage.waitForElementToAppear(""actionsInPolicyDetails"")",Chrome 126.0.0.0,,,2024-08-16 02:25:05,2024-08-16 02:25:36,31.021s,PASSED
delay(longTimeOut),Chrome 126.0.0.0,,,2024-08-16 02:25:36,2024-08-16 02:25:46,10.002s,PASSED
"result2 = verifyTextPresent(policyColumn.getValue(""changeRequestVerify"", 6), false)",Chrome 126.0.0.0,,,2024-08-16 02:25:46,2024-08-16 02:25:46,0.096s,PASSED
finalResult.add(String.valueOf(result2)),Chrome 126.0.0.0,,,2024-08-16 02:25:46,2024-08-16 02:25:46,0.000s,PASSED
closeWindowIndex(1),Chrome 126.0.0.0,,,2024-08-16 02:25:46,2024-08-16 02:25:46,0.083s,PASSED
"!(finalResult.contains(""false""))",Chrome 126.0.0.0,,,2024-08-16 02:25:46,2024-08-16 02:25:46,0.008s,PASSED
Start listener action : AfterTestCase,Chrome 126.0.0.0,,,2024-08-16 02:25:46,2024-08-16 02:25:46,0.039s,PASSED
,,,,,,,
Test Cases/policyManagement/Change Request/VerifyCommercialPackagePolicyCR,Chrome 126.0.0.0,,,2024-08-16 02:25:46,2024-08-16 02:28:55,3m - 9.129s,PASSED
Start listener action : BeforeTestCase,Chrome 126.0.0.0,,,2024-08-16 02:25:46,2024-08-16 02:25:46,0.091s,PASSED
"dataFilePath = ""Data Files/policyManagement/change request/policyChangeRequestData""",Chrome 126.0.0.0,,,2024-08-16 02:25:47,2024-08-16 02:25:47,0.000s,PASSED
tc = new VerifyCommercialPackagePolicyCR(dataFilePath),Chrome 126.0.0.0,,,2024-08-16 02:25:47,2024-08-16 02:25:47,0.014s,PASSED
"subLineDataValue = ""Data Files/policyManagement/change request/subLobPolicyData""",Chrome 126.0.0.0,,,2024-08-16 02:25:47,2024-08-16 02:25:47,0.000s,PASSED
"apeDataValue = ""Data Files/policyManagement/change request/apeData""",Chrome 126.0.0.0,,,2024-08-16 02:25:47,2024-08-16 02:25:47,0.001s,PASSED
tc.run(),Chrome 126.0.0.0,,,2024-08-16 02:25:47,2024-08-16 02:25:47,0.002s,PASSED
navBar = new pageClasses.common.NavBar(),Chrome 126.0.0.0,,,2024-08-16 02:25:47,2024-08-16 02:25:47,0.005s,PASSED
navBar.goToCreateNewCommercialApplicantPage(),Chrome 126.0.0.0,,,2024-08-16 02:25:47,2024-08-16 02:25:53,6.121s,PASSED
subLine = findTestData(subLineDataValue),Chrome 126.0.0.0,,,2024-08-16 02:25:53,2024-08-16 02:25:53,0.004s,PASSED
apeData = findTestData(apeDataValue),Chrome 126.0.0.0,,,2024-08-16 02:25:53,2024-08-16 02:25:53,0.003s,PASSED
createNewCommercialApplicantPage = new pageClasses.applicants.CreateNewCommercialApplicantPage(),Chrome 126.0.0.0,,,2024-08-16 02:25:53,2024-08-16 02:25:53,0.020s,PASSED
addPolicyPage = new pageClasses.common.AddPolicyPage(),Chrome 126.0.0.0,,,2024-08-16 02:25:53,2024-08-16 02:25:53,0.009s,PASSED
apeTabs = new pageClasses.common.APETabs(),Chrome 126.0.0.0,,,2024-08-16 02:25:53,2024-08-16 02:25:53,0.002s,PASSED
vehiclesTab = new pageClasses.common.VehiclesTab(),Chrome 126.0.0.0,,,2024-08-16 02:25:53,2024-08-16 02:25:53,0.024s,PASSED
policySummaryPage = new pageClasses.policyManagement.PolicySummaryPage(),Chrome 126.0.0.0,,,2024-08-16 02:25:53,2024-08-16 02:25:53,0.008s,PASSED
policyHistoryPage = new pageClasses.policyManagement.PolicyHistoryPage(),Chrome 126.0.0.0,,,2024-08-16 02:25:53,2024-08-16 02:25:53,0.006s,PASSED
ut = new pageClasses.general.Utility(),Chrome 126.0.0.0,,,2024-08-16 02:25:53,2024-08-16 02:25:53,0.000s,PASSED
"commercialFieldValue = createNewCommercialApplicantPage.createCommercialApplicantWithRandomValues(data, ""commercialValue"")",Chrome 126.0.0.0,,,2024-08-16 02:25:53,2024-08-16 02:26:23,29.896s,PASSED
applicantPolicyPage = new pageClasses.applicants.ApplicantPolicyPage(),Chrome 126.0.0.0,,,2024-08-16 02:26:23,2024-08-16 02:26:23,0.002s,PASSED
applicantPolicyPage.goToAddPolicyPage(),Chrome 126.0.0.0,,,2024-08-16 02:26:23,2024-08-16 02:26:25,2.043s,PASSED
"policyMapValue = addPolicyPage.setPolicyFieldsWithDefaultValues(data, ""commPkgPolicy"")",Chrome 126.0.0.0,,,2024-08-16 02:26:25,2024-08-16 02:26:28,2.955s,PASSED
"deptIndex = addPolicyPage.getRowIndexOfScenarioName(data, ""departmentValue"")",Chrome 126.0.0.0,,,2024-08-16 02:26:28,2024-08-16 02:26:28,0.001s,PASSED
"department = data.getValue(""department"", deptIndex)",Chrome 126.0.0.0,,,2024-08-16 02:26:28,2024-08-16 02:26:28,0.000s,PASSED
addPolicyPage.selectDepartment(department),Chrome 126.0.0.0,,,2024-08-16 02:26:28,2024-08-16 02:26:40,12.754s,PASSED
addPolicyPage.removeSubLineOfLob(),Chrome 126.0.0.0,,,2024-08-16 02:26:40,2024-08-16 02:26:42,1.116s,PASSED
addPolicyPage.removeSubLineOfLob(),Chrome 126.0.0.0,,,2024-08-16 02:26:42,2024-08-16 02:26:43,1.100s,PASSED
